NIT,YEAR,Costo_de_ventas,Gastos_de_ventas,Costo_de_ventas_dif,Gastos_de_ventas_dif,balance_fiscal,cuenta_corriente,desempleo,inflacion,pib,tasa_intervencion,trm
800015615,2016,60626083.0,13978834.0,-6644631.0,1713101.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
800045720,2016,3785517.0,60608.0,261398.0,14912.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
800081030,2016,39634059.0,5645885.0,10012929.0,2314426.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
800112440,2016,24304534.0,8977594.0,-1366318.0,-337547.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
800118660,2016,31280967.0,6702215.0,-1538082.0,-1439109.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
800157469,2016,11886427.0,1050755.0,1328852.0,25742.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
800232356,2016,104518885.0,9540000.0,3196450.0,1620695.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
800236890,2016,23301270.0,404719.0,12143724.0,31622.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
801002644,2016,94444630.0,27857644.0,23611432.0,4478270.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
805012368,2016,42291070.0,7314503.0,-720908.0,1042678.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
806014553,2016,54866113.0,17048833.0,-19938135.0,-4572548.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
830030574,2016,13969323.0,870261.0,-1849511.0,-717665.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
830037495,2016,43762061.0,16325119.0,6982501.0,-389151.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
830052054,2016,61208106.0,1865920.0,-13161712.0,-227052.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
860009694,2016,187349222.0,7091362.0,-17903909.0,-1389433.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
860030360,2016,17821805.0,4121173.0,-1108185.0,-797267.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
860033653,2016,31824537.0,8364174.0,2128104.0,-857632.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
860050956,2016,40609990.0,5978160.0,-2205516.0,-207883.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
860501682,2016,39165473.0,5786553.0,-4982535.0,-53024.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
890117431,2016,20467343.0,1920789.0,5210462.0,-44018.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
890300012,2016,39750093.0,3060095.0,3994387.0,398466.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
890311366,2016,32850914.0,13043626.0,-750495.0,1939253.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
890904459,2016,76957720.0,12679101.0,11124028.0,5118933.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
890909034,2016,5580194.0,1594136.0,-26437293.0,350113.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
890929951,2016,79806625.0,1523941.0,13182506.0,-173116.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
900173460,2016,6542677.0,762613.0,-3446789.0,-659872.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
900184722,2016,50453000.0,5204078.0,4147845.0,-710504.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
900204182,2016,105696206.0,9676876.0,4689803.0,661465.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
900234565,2016,49639368.0,4707006.0,-6103845.0,-1183480.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
900364670,2016,24874616.0,553453.0,-202481.0,14051.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
900378893,2016,192984673.0,8658834.0,-78248228.0,52740.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
900389088,2016,4619968.0,102497.0,-2856504.0,19219.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
900437650,2016,18774860.0,4641379.0,-125441144.0,1478100.0,483076.4028,-2541.405317,0.087427561,0.2163,863782.0,0.075,3000.71
800015615,2017,59080156.0,0.0,-1545927.0,-13978834.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
800045720,2017,3977633.0,0.0,192116.0,-60608.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
800081030,2017,35278433.0,0.0,-4355626.0,-5645885.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
800112440,2017,23453024.0,0.0,-851510.0,-8977594.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
800118660,2017,33462570.0,0.0,2181603.0,-6702215.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
800157469,2017,10452870.0,0.0,-1433557.0,-1050755.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
800232356,2017,104940884.0,0.0,421999.0,-9540000.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
800236890,2017,8321068.0,0.0,-14980202.0,-404719.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
801002644,2017,113667103.0,0.0,19222473.0,-27857644.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
805012368,2017,46330434.0,0.0,4039364.0,-7314503.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
806014553,2017,57657912.0,0.0,2791799.0,-17048833.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
830030574,2017,13700631.0,0.0,-268692.0,-870261.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
830037495,2017,28235186.0,0.0,-15526875.0,-16325119.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
830052054,2017,41704463.0,0.0,-19503643.0,-1865920.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
860009694,2017,175304403.0,0.0,-12044819.0,-7091362.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
860030360,2017,17199886.0,0.0,-621919.0,-4121173.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
860033653,2017,33298022.0,0.0,1473485.0,-8364174.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
860050956,2017,33396041.0,0.0,-7213949.0,-5978160.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
860501682,2017,45097539.0,0.0,5932066.0,-5786553.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
890117431,2017,17500906.0,0.0,-2966437.0,-1920789.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
890300012,2017,35494740.0,0.0,-4255353.0,-3060095.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
890311366,2017,27816455.0,0.0,-5034459.0,-13043626.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
890904459,2017,82314130.0,0.0,5356410.0,-12679101.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
890909034,2017,2163668.0,0.0,-3416526.0,-1594136.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
890929951,2017,63594391.0,0.0,-16212234.0,-1523941.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
900173460,2017,4558220.0,0.0,-1984457.0,-762613.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
900184722,2017,47025390.0,0.0,-3427610.0,-5204078.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
900204182,2017,86095148.0,0.0,-19601058.0,-9676876.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
900234565,2017,54212946.0,0.0,4573578.0,-4707006.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
900364670,2017,19842088.0,0.0,-5032528.0,-553453.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
900378893,2017,174006870.0,0.0,-18977803.0,-8658834.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
900389088,2017,8713342.0,0.0,4093374.0,-102497.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
900437650,2017,9165656.0,0.0,-9609204.0,-4641379.0,501725.7063,-1529.008656,0.086273889,0.1946,920471.0,0.0475,2984.0
800015615,2018,66347258.0,18727983.0,7267102.0,18727983.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
800045720,2018,3715164.0,34368.0,-262469.0,34368.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
800081030,2018,38817595.0,4277083.0,3539162.0,4277083.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
800112440,2018,28140401.0,10497079.0,4687377.0,10497079.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
800118660,2018,36901472.0,5464218.0,3438902.0,5464218.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
800157469,2018,12068388.0,1094795.0,1615518.0,1094795.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
800232356,2018,116765248.0,10138362.0,11824364.0,10138362.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
800236890,2018,591366.0,2759408.0,-7729702.0,2759408.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
801002644,2018,107841149.0,35411964.0,-5825954.0,35411964.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
805012368,2018,57190250.0,9895818.0,10859816.0,9895818.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
806014553,2018,72711967.0,17780360.0,15054055.0,17780360.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
830030574,2018,13320540.0,892387.0,-380091.0,892387.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
830037495,2018,27018838.0,9736407.0,-1216348.0,9736407.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
830052054,2018,41660420.0,2114010.0,-44043.0,2114010.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
860009694,2018,211914084.0,8088444.0,36609681.0,8088444.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
860030360,2018,16852833.0,4493496.0,-347053.0,4493496.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
860033653,2018,35255510.0,8737644.0,1957488.0,8737644.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
860050956,2018,30663434.0,4533365.0,-2732607.0,4533365.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
860501682,2018,57703425.0,7796907.0,12605886.0,7796907.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
890117431,2018,18458595.0,2098534.0,957689.0,2098534.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
890300012,2018,24601978.0,2365611.0,-10892762.0,2365611.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
890311366,2018,28242513.0,8103166.0,426058.0,8103166.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
890904459,2018,92360857.0,10030521.0,10046727.0,10030521.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
890909034,2018,1736156.0,183814.0,-427512.0,183814.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
890929951,2018,75929483.0,1180434.0,12335092.0,1180434.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
900173460,2018,4461062.0,686750.0,-97158.0,686750.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
900184722,2018,46291017.0,5169423.0,-734373.0,5169423.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
900204182,2018,87856734.0,8628978.0,1761586.0,8628978.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
900234565,2018,48454520.0,6727499.0,-5758426.0,6727499.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
900364670,2018,13653296.0,208080.0,-6188792.0,208080.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
900378893,2018,169567783.0,8326660.0,-4439087.0,8326660.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
900389088,2018,6880597.0,166062.0,-1832745.0,166062.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
900437650,2018,8351676.0,5112417.0,-813980.0,5112417.0,596327.1323,-3740.1952969999998,0.097210901,0.2259,985931.0,0.0425,3249.75
